,Year,Total_revenue,Net_income,Total_assets,Total_liabilities,Cash_flow_from_operating_activities,Company
1,2024,65898.5,8516.75,75808.75,34603.75,11355.0,Tesla
2,2023,96773.0,14974.0,106618.0,43009.0,13256.0,Tesla
3,2022,81462.0,12587.0,82338.0,36440.0,14724.0,Tesla
4,2021,53823.0,5644.0,62131.0,30548.0,11497.0,Tesla
5,2020,31536.0,862.0,52148.0,28418.0,5943.0,Tesla
