,Year,Total_revenue,Net_income,Total_assets,Total_liabilities,Cash_flow_from_operating_activities,Company
1,2024,391035,93736,364980,308030,118254,Apple
2,2023,383285,96995,352583,290437,110543,Apple
3,2022,394328,99803,352755,302083,122151,Apple
4,2021,365817,94680,351002,287912,104038,Apple
5,2020,274515,57411,323888,258549,80674,Apple
